,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00
Iceland,50,0,0,50,388,58,0,0,58,765,69,0,1,68,1107,85,0,1,84,1406,103,0,1,102,1706,134,0,1,133,1974,156,0,1,155,2284,171,5,8,158,2593,180,0,0,180,2904,220,1,0,219,3176,250,1,5,244,3507,330,1,5,324,3767,409,0,5,404,4007,473,1,22,450,4272,568,1,36,531,4583,588,1,51,536,4827,648,2,51,595,5023,737,2,56,679,5213,802,2,82,718,5427,890,2,97,791,5625,963,2,114,847,5804,1020,2,135,883,6019,1086,2,157,927,6228,1135,2,198,935,6395,1220,2,225,993,6605,1319,4,284,1031,6819,1364,4,309,1051,7023,1417,4,396,1017,7192,1486,4,428,1054,7376,1562,6,460,1096,7617,1586,6,559,1021,7843,1616,6,633,977,8034,1648,6,688,954,8236,1675,7,751,917,8444,1689,8,841,840,8624
Israel,39,0,2,37,1750,39,0,2,37,3301,58,0,4,54,4601,109,0,4,105,5889,131,0,4,127,7012,161,0,4,157,7808,193,0,4,189,8767,251,0,4,247,9818,255,0,4,251,10879,337,0,11,326,12101,433,0,11,422,13222,677,0,11,666,14489,705,0,14,691,15645,883,1,36,846,16742,1071,1,37,1033,17960,1442,1,41,1400,19177,1930,3,53,1874,20504,2369,5,58,2306,21793,2693,8,68,2617,23067,3035,12,79,2944,24228,3619,12,89,3518,25384,4247,15,132,4100,26765,4695,16,161,4518,28286,5358,20,224,5114,29772,6092,26,241,5825,31289,6857,36,338,6483,32775,7428,40,403,6985,34210,7851,44,427,7380,35515,8430,49,477,7904,37091,8904,57,585,8262,38635,9248,65,770,8413,40172,9404,73,801,8530,41450,9968,86,1011,8871,42709,10408,95,1183,9130,44075,10743,101,1341,9301,45396
Italy,7375,366,622,6387,38862,9172,463,724,7985,70426,10149,631,724,8794,93524,12462,827,1045,10590,117002,12462,827,1045,10590,130806,17660,1266,1439,14955,142005,21157,1441,1966,17750,154478,24747,1809,2335,20603,168345,27980,2158,2749,23073,180705,31506,2503,2941,26062,193263,35713,2978,4025,28710,205126,41035,3405,4440,33190,216696,47021,4032,4440,38549,228423,53578,4825,6072,42681,240408,59138,5476,7024,46638,252784,63927,6077,7432,50418,265128,69176,6820,8326,54030,277383,74386,7503,9362,57521,290287,80589,8215,10361,62013,303399,86498,9134,10950,66414,317020,92472,10023,12384,70065,330430,97689,10779,13030,73880,343421,101739,11591,14620,75528,357074,105792,12428,15729,77635,370221,110574,13155,16847,80572,382821,115242,13915,18278,83049,395032,119827,14681,19758,85388,408151,124632,15362,20996,88274,421344,128948,15887,21815,91246,434806,132547,16523,22837,93187,447853,135586,17127,24392,94067,461686,139422,17669,26491,95262,476180,143626,18279,28470,96877,490118,147577,18849,30455,98273,502873,152271,19468,32534,100269,515638
Jamaica,0,0,0,0,1427,0,0,0,0,2762,0,0,0,0,5106,1,0,0,1,8031,2,0,0,2,10991,8,0,0,8,13601,8,0,0,8,15634,10,0,0,10,17402,10,0,2,8,19356,12,0,2,10,21331,13,0,2,11,23261,15,1,2,12,25024,16,1,2,13,26637,16,1,2,13,28216,16,1,2,13,29585,19,1,2,16,31211,21,1,2,18,32599,26,1,2,23,34128,26,1,2,23,35587,26,1,2,23,36956,30,1,2,27,38426,32,1,2,29,39699,36,1,2,33,41645,36,1,2,33,43801,44,3,2,39,45564,47,3,2,42,47275,47,3,2,42,48645,53,3,7,43,49812,58,3,8,47,51430,58,3,8,47,52968,63,3,8,52,54335,63,4,10,49,55792,63,4,12,47,57247,63,4,13,46,58493,65,4,13,48,60556
Jersey,0,0,0,0,11098,0,0,0,0,22524,0,0,0,0,34069,0,0,0,0,44818,0,0,0,0,56592,0,0,0,0,66139,2,0,0,2,74843,2,0,0,2,83560,2,0,0,2,92388,0,0,0,0,101250,0,0,0,0,110240,0,0,0,0,119566,0,0,0,0,129480,0,0,0,0,138699,0,0,0,0,147518,0,0,0,0,157027,0,0,0,0,166253,0,0,0,0,175742,0,0,0,0,185326,0,0,0,0,194068,0,0,0,0,202984,0,0,0,0,212177,0,0,0,0,221936,0,0,0,0,231822,0,0,0,0,241460,0,0,0,0,251364,0,0,0,0,260884,0,0,0,0,270145,0,0,0,0,279003,0,0,0,0,288295,0,0,0,0,297984,0,0,0,0,307501,0,0,0,0,316959,0,0,0,0,326741,0,0,0,0,335866
Jordan,1,0,0,1,352,1,0,0,1,720,1,0,0,1,1095,1,0,0,1,1522,1,0,0,1,1986,1,0,1,0,2348,1,0,1,0,2806,8,0,1,7,3252,17,0,1,16,3745,34,0,1,33,4216,52,0,1,51,4630,69,0,1,68,5136,85,0,1,84,5610,85,0,1,84,6118,112,0,1,111,6594,127,0,1,126,7048,154,0,1,153,7534,172,0,1,171,7985,212,0,1,211,8470,235,1,18,216,8960,246,1,18,227,9397,259,3,18,238,9859,268,5,26,237,10303,274,5,30,239,10776,278,5,36,237,11154,299,5,45,249,11575,310,5,58,247,12111,323,5,74,244,12609,345,5,110,230,13168,349,6,126,217,13633,353,6,138,209,14093,358,6,150,202,14538,372,7,161,204,15072,372,7,170,195,15583,381,7,177,197,16048
Japan,502,6,76,420,17336,511,17,76,418,32417,581,10,101,470,45075,639,15,118,506,54789,639,16,118,505,62532,701,19,118,564,69526,773,22,118,633,76492,839,22,118,699,84174,825,27,144,654,91876,878,29,144,705,99802,889,29,144,716,107945,924,29,150,745,114985,963,33,191,739,121541,1007,35,232,740,129619,1086,40,235,811,138487,1128,42,235,851,146795,1193,43,285,865,154493,1307,45,310,952,163226,1387,47,359,981,172956,1468,49,372,1047,184308,1693,52,404,1237,196668,1866,54,424,1388,209176,1866,54,424,1388,222618,1953,56,424,1473,234146,2178,57,472,1649,246637,2495,62,472,1961,259027,2617,63,514,2040,271417,3139,77,514,2548,287143,3139,77,514,2548,301001,3654,85,575,2994,316160,3906,92,592,3222,330046,4257,93,622,3542,343499,4667,94,632,3941,357401,5530,99,685,4746,370307,6005,99,762,5144,385305
Kazakhstan,0,0,0,0,51,0,0,0,0,82,0,0,0,0,135,0,0,0,0,216,0,0,0,0,264,4,0,0,4,333,6,0,0,6,391,9,0,0,9,460,10,0,0,10,525,33,0,0,33,609,35,0,0,35,680,44,0,0,44,756,49,3,0,46,838,53,0,0,53,919,60,0,0,60,1026,62,0,0,62,1168,72,0,0,72,1273,81,0,0,81,1401,111,1,2,108,1490,150,1,3,146,1578,228,1,16,211,1695,284,1,20,263,1777,302,1,21,280,1876,343,2,24,317,2015,380,3,26,351,2126,435,3,27,405,2272,464,6,29,429,2370,531,5,36,490,2489,584,6,42,536,2573,662,6,46,610,2732,697,6,51,640,2894,727,7,54,666,3052,781,8,60,713,3190,812,10,64,738,3354,865,10,81,774,3457
Kenya,0,0,0,0,4071,0,0,0,0,8667,0,0,0,0,15386,0,0,0,0,22189,0,0,0,0,28092,1,0,0,1,39511,1,0,0,1,46173,3,0,0,3,54402,3,0,0,3,64910,3,0,0,3,74515,3,0,0,3,85302,7,0,0,7,93781,7,0,0,7,100207,7,0,0,7,108069,15,0,0,15,118438,16,0,0,16,129567,25,0,0,25,141800,28,0,1,27,152060,31,1,1,29,161117,31,1,1,29,171255,38,1,1,36,182856,42,1,1,40,193203,50,1,1,48,201826,59,1,1,57,209943,81,1,3,77,219344,110,3,4,103,228909,122,4,4,114,237383,126,4,4,118,247716,142,4,4,134,257857,158,6,4,148,267799,172,6,7,159,280259,179,6,9,164,292014,184,7,12,165,303635,189,7,22,160,313976,191,7,24,160,324180
Kyrgyzstan,0,0,0,0,18,0,0,0,0,34,0,0,0,0,68,0,0,0,0,100,0,0,0,0,138,0,0,0,0,162,0,0,0,0,209,0,0,0,0,248,0,0,0,0,286,0,0,0,0,343,3,0,0,3,410,3,0,0,3,463,6,0,0,6,516,14,0,0,14,565,14,0,0,14,609,16,0,0,16,664,42,0,0,42,738,44,0,0,44,819,44,0,0,44,867,58,0,0,58,953,58,0,0,58,997,84,0,0,84,1063,94,0,3,91,1119,107,0,3,104,1192,111,0,3,108,1265,116,0,5,111,1333,130,1,6,123,1399,144,1,9,134,1464,147,1,9,137,1532,216,4,33,179,1599,228,4,33,191,1662,270,4,33,233,1732,280,4,35,241,1816,298,5,35,258,1879,339,5,44,290,1966
Cambodia,2,0,1,1,188,2,0,1,1,376,2,0,1,1,566,3,0,1,2,762,3,0,1,2,887,5,0,1,4,1027,7,0,1,6,1155,7,0,1,6,1298,7,0,1,6,1453,33,0,1,32,1635,35,0,1,34,1774,37,0,1,36,1952,51,0,1,50,2076,53,0,1,52,2202,84,0,1,83,2362,87,0,2,85,2568,91,0,4,87,2739,96,0,10,86,2908,96,0,10,86,3101,99,0,11,88,3287,99,0,13,86,3478,103,0,21,82,3647,107,0,21,86,3828,109,0,23,86,4016,109,0,25,84,4217,110,0,34,76,4393,114,0,35,79,4617,114,0,50,64,4779,114,0,50,64,4914,114,0,53,61,5106,115,0,58,57,5344,117,0,63,54,5570,119,0,62,57,5831,119,0,72,47,6050,120,0,75,45,6252
Kiribati,0,0,0,0,29,0,0,0,0,51,0,0,0,0,84,0,0,0,0,107,0,0,0,0,124,0,0,0,0,136,0,0,0,0,176,0,0,0,0,204,0,0,0,0,214,0,0,0,0,233,0,0,0,0,250,0,0,0,0,266,0,0,0,0,285,0,0,0,0,298,0,0,0,0,315,0,0,0,0,336,0,0,0,0,355,0,0,0,0,383,0,0,0,0,406,0,0,0,0,425,0,0,0,0,449,0,0,0,0,470,0,0,0,0,488,0,0,0,0,503,0,0,0,0,517,0,0,0,0,538,0,0,0,0,558,0,0,0,0,573,0,0,0,0,596,0,0,0,0,619,0,0,0,0,629,0,0,0,0,650,0,0,0,0,659,0,0,0,0,670,0,0,0,0,682
Saint Kitts and Nevis,0,0,0,0,12,0,0,0,0,23,0,0,0,0,33,0,0,0,0,47,0,0,0,0,63,0,0,0,0,89,0,0,0,0,106,0,0,0,0,118,0,0,0,0,131,0,0,0,0,149,0,0,0,0,164,0,0,0,0,184,0,0,0,0,202,0,0,0,0,223,0,0,0,0,238,0,0,0,0,262,0,0,0,0,274,2,0,0,2,287,2,0,0,2,301,2,0,0,2,320,2,0,0,2,345,2,0,0,2,357,7,0,0,7,375,8,0,0,8,390,8,0,0,8,408,9,0,0,9,427,9,0,0,9,442,9,0,0,9,450,10,0,0,10,466,10,0,0,10,486,11,0,0,11,500,11,0,0,11,516,11,0,0,11,522,12,0,0,12,533,12,0,0,12,557
"Korea, Republic of",7314,50,118,7146,1776,7478,53,118,7307,3512,7478,53,118,7307,4457,7755,60,288,7407,5351,7869,66,333,7470,6240,7979,66,510,7403,7194,8086,72,510,7504,8304,8162,75,510,7577,9488,8236,75,1137,7024,10819,8320,81,1407,6832,11739,8413,84,1540,6789,12661,8565,91,1540,6934,13319,8652,94,1540,7018,13914,8799,102,1540,7157,14950,8897,104,2909,5884,15819,8961,111,3166,5684,17273,9037,120,3507,5410,17977,9137,126,3730,5281,18720,9241,131,4144,4966,19788,9332,139,4528,4665,20647,9478,144,4811,4523,21624,9583,152,5033,4398,22380,9661,158,5228,4275,23387,9786,162,5408,4216,24237,9887,165,5567,4155,25033,9976,169,5828,3979,25814,10062,174,6021,3867,26639,10156,177,6325,3654,27722,10237,183,6463,3591,28970,10284,186,6598,3500,29882,10331,192,6694,3445,31072,10384,200,6776,3408,31875,10423,204,6973,3246,33258,10450,208,7117,3125,34356,10480,211,7243,3026,35389
Kuwait,64,0,1,63,1800,64,0,1,63,3045,69,0,1,68,4379,72,0,2,70,5626,80,0,5,75,6701,80,0,5,75,7751,104,0,5,99,8750,112,0,5,107,9850,123,0,9,114,10870,130,0,9,121,11953,142,0,15,127,12878,148,0,18,130,13884,159,0,18,141,14937,176,0,27,149,16387,188,0,27,161,17394,189,0,30,159,18547,191,0,39,152,19757,195,0,43,152,20897,208,0,49,159,22092,225,0,57,168,23443,235,0,64,171,24571,255,0,67,188,25934,266,0,72,194,27155,289,0,73,216,28361,317,0,80,237,29605,342,0,81,261,30676,417,0,82,335,32729,479,1,93,385,34422,556,1,99,456,36075,665,1,103,561,37843,743,1,105,637,39194,855,1,111,743,40778,910,1,111,798,42017,993,1,123,869,43383,1154,1,133,1020,45214
Lao People's Democratic Republic,0,0,0,0,5,0,0,0,0,9,0,0,0,0,12,0,0,0,0,17,0,0,0,0,19,0,0,0,0,22,0,0,0,0,22,0,0,0,0,27,0,0,0,0,31,0,0,0,0,38,0,0,0,0,39,0,0,0,0,41,0,0,0,0,50,0,0,0,0,54,0,0,0,0,56,0,0,0,0,63,2,0,0,2,72,3,0,0,3,82,6,0,0,6,84,6,0,0,6,90,8,0,0,8,94,8,0,0,8,103,8,0,0,8,106,9,0,0,9,111,10,0,0,10,111,10,0,0,10,114,10,0,0,10,115,10,0,0,10,118,11,0,0,11,121,12,0,0,12,126,14,0,0,14,128,15,0,0,15,132,16,0,0,16,141,16,0,0,16,143,18,0,0,18,150
Lebanon,32,0,1,31,1137,32,0,1,31,2461,41,1,1,39,3872,61,3,1,57,5436,61,3,1,57,6618,77,3,1,73,7586,93,3,1,89,8643,110,3,1,106,9781,99,3,1,95,10803,120,3,3,114,11778,133,3,3,127,12709,157,4,4,149,13665,163,4,4,155,14536,187,4,4,179,15477,248,4,8,236,16438,267,4,8,255,17431,318,4,8,306,18349,333,6,20,307,19446,368,6,23,339,20365,391,8,27,356,21387,412,8,30,374,22366,438,10,30,398,23277,446,11,35,400,24192,470,12,37,421,25156,479,14,43,422,26122,494,16,46,432,27099,508,17,50,441,27997,520,17,54,449,28894,527,18,54,455,29863,541,19,60,462,30888,548,19,62,467,31971,576,19,62,495,33036,582,19,67,496,34085,609,20,76,513,35029,619,20,77,522,35910
Liberia,0,0,0,0,48,0,0,0,0,88,0,0,0,0,130,0,0,0,0,180,0,0,0,0,240,0,0,0,0,310,0,0,0,0,356,0,0,0,0,398,1,0,0,1,452,1,0,0,1,492,2,0,0,2,536,2,0,0,2,586,2,0,0,2,644,3,0,0,3,695,3,0,0,3,751,3,0,0,3,810,3,0,0,3,852,3,0,0,3,916,3,0,0,3,967,3,0,0,3,1012,3,0,0,3,1083,3,0,0,3,1142,3,0,0,3,1180,3,0,0,3,1215,6,0,0,6,1269,6,0,0,6,1314,7,0,0,7,1366,10,1,3,6,1430,13,3,3,7,1504,14,3,3,8,1552,14,3,3,8,1605,31,4,3,24,1654,31,4,3,24,1730,37,5,3,29,1801,48,5,3,40,1859
Libya,0,0,0,0,144,0,0,0,0,352,0,0,0,0,517,0,0,0,0,682,0,0,0,0,868,0,0,0,0,1024,0,0,0,0,1234,0,0,0,0,1527,0,0,0,0,1769,0,0,0,0,1975,0,0,0,0,2193,0,0,0,0,2458,0,0,0,0,2684,0,0,0,0,2935,0,0,0,0,3262,0,0,0,0,3571,1,0,0,1,3882,1,0,0,1,4162,1,0,0,1,4385,1,0,0,1,4638,3,0,0,3,4947,8,0,0,8,5240,8,0,0,8,5469,10,0,1,9,5715,10,0,0,10,5901,11,1,0,10,6115,11,1,0,10,6350,18,1,0,17,6587,18,1,0,17,6793,19,1,1,17,7027,20,1,1,18,7261,21,1,8,12,7494,24,1,8,15,7723,24,1,8,15,7914,24,1,8,15,8115
Saint Lucia,0,0,0,0,42,0,0,0,0,83,0,0,0,0,123,0,0,0,0,203,0,0,0,0,306,0,0,0,0,406,1,0,0,1,485,2,0,0,2,560,2,0,0,2,617,2,0,0,2,693,2,0,0,2,763,2,0,0,2,832,2,0,0,2,923,2,0,0,2,1001,2,0,0,2,1046,3,0,0,3,1115,3,0,0,3,1156,3,0,0,3,1214,3,0,0,3,1264,3,0,1,2,1325,3,0,1,2,1383,9,0,1,8,1444,9,0,1,8,1492,13,0,1,12,1531,13,0,1,12,1581,13,0,1,12,1638,13,0,1,12,1679,14,0,1,13,1722,14,0,1,13,1772,14,0,1,13,1830,14,0,1,13,1881,14,0,1,13,1917,14,0,1,13,1993,15,0,1,14,2043,15,0,1,14,2103
Liechtenstein,1,0,0,1,75,1,0,0,1,160,1,0,0,1,217,1,0,0,1,276,1,0,0,1,313,1,0,0,1,351,4,0,0,4,415,4,0,0,4,444,4,0,0,4,469,7,0,0,7,506,28,0,0,28,534,28,0,0,28,562,28,0,0,28,599,37,0,0,37,617,37,0,0,37,657,51,0,0,51,713,51,0,0,51,771,51,0,0,51,812,56,0,0,56,857,56,0,0,56,891,56,0,0,56,922,56,0,0,56,973,62,0,0,62,1009,68,0,0,68,1053,68,0,0,68,1110,75,0,0,75,1161,75,0,0,75,1214,77,1,0,76,1256,77,1,0,76,1307,77,1,55,21,1351,78,1,55,22,1389,78,1,55,22,1418,78,1,55,22,1482,79,1,55,23,1518,79,1,55,23,1544
Sri Lanka,1,0,1,0,538,1,0,1,0,1220,1,0,1,0,1907,2,0,1,1,3059,2,0,1,1,4470,6,0,1,5,5535,10,0,1,9,6826,18,0,1,17,8249,28,0,1,27,10261,44,0,1,43,12130,51,0,1,50,13735,60,0,3,57,15362,73,0,3,70,17103,77,0,1,76,19095,82,0,3,79,21055,97,0,2,95,22961,102,0,2,100,24632,102,0,3,99,26293,106,0,7,99,27985,106,0,7,99,29935,113,1,9,103,32068,117,1,11,105,34248,122,2,15,105,36042,143,2,17,124,38066,146,3,21,122,40133,151,4,21,126,42191,159,4,24,131,44325,166,5,27,134,46415,176,5,33,138,48559,178,5,38,135,50361,185,6,42,137,52564,189,7,44,138,54609,190,7,49,134,56549,190,7,54,129,58550,198,7,54,137,60719
Lesotho,0,0,0,0,68,0,0,0,0,156,0,0,0,0,261,0,0,0,0,347,0,0,0,0,398,0,0,0,0,471,0,0,0,0,523,0,0,0,0,572,0,0,0,0,631,0,0,0,0,703,0,0,0,0,783,0,0,0,0,848,0,0,0,0,920,0,0,0,0,988,0,0,0,0,1067,0,0,0,0,1194,0,0,0,0,1287,0,0,0,0,1402,0,0,0,0,1503,0,0,0,0,1632,0,0,0,0,1720,0,0,0,0,1805,0,0,0,0,1905,0,0,0,0,2005,0,0,0,0,2099,0,0,0,0,2188,0,0,0,0,2267,0,0,0,0,2401,0,0,0,0,2518,0,0,0,0,2602,0,0,0,0,2704,0,0,0,0,2791,0,0,0,0,2886,0,0,0,0,2976,0,0,0,0,3064
Lithuania,1,0,0,1,98,1,0,0,1,184,1,0,0,1,257,3,0,0,3,362,3,0,0,3,495,6,0,0,6,582,8,0,0,8,669,12,0,1,11,764,17,0,1,16,867,25,0,1,24,961,27,0,1,26,1060,36,0,1,35,1154,49,0,1,48,1244,83,1,1,81,1313,131,1,1,129,1402,179,1,1,177,1520,209,2,1,206,1609,274,4,1,269,1703,299,4,1,294,1767,358,5,1,352,1870,394,7,1,386,1970,460,7,1,452,2064,491,7,7,477,2196,537,8,7,522,2309,581,8,7,566,2444,649,9,7,633,2538,696,9,7,680,2652,771,11,7,753,2753,811,13,7,791,2843,843,15,8,820,2943,880,15,8,857,3073,912,15,8,889,3183,955,16,8,931,3276,999,22,54,923,3401,1026,23,54,949,3489
Luxembourg,3,0,0,3,623,3,0,0,3,1116,5,0,0,5,1621,7,0,0,7,2150,19,0,0,19,2576,34,0,0,34,2958,51,1,0,50,3382,59,1,0,58,3964,77,1,0,76,4561,140,1,0,139,5142,203,2,0,201,5666,335,4,0,331,6217,484,4,0,480,6763,670,8,0,662,7310,798,8,6,784,7825,875,8,6,861,8324,1099,8,6,1085,8838,1333,8,6,1319,9370,1453,9,6,1438,9938,1605,15,40,1550,10535,1831,18,40,1773,11028,1950,21,40,1889,11522,1988,22,40,1926,12136,2178,23,80,2075,12733,2319,29,80,2210,13342,2487,30,80,2377,14003,2612,31,500,2081,14700,2729,31,500,2198,15299,2804,36,500,2268,15863,2843,41,500,2302,16530,2970,44,500,2426,17254,3034,46,500,2488,17951,3115,52,500,2563,18649,3223,54,500,2669,19397,3270,62,500,2708,20117
Latvia,2,0,0,2,294,6,0,0,6,623,8,0,1,7,927,10,0,1,9,1255,10,0,1,9,1606,17,0,1,16,1843,26,0,1,25,2142,30,0,1,29,2443,34,0,1,33,2751,49,0,1,48,3041,71,0,1,70,3364,86,0,1,85,3686,111,0,1,110,3946,124,0,1,123,4254,139,0,1,138,4560,180,0,1,179,4908,197,0,1,196,5150,221,0,1,220,5430,244,0,1,243,5766,280,0,1,279,6053,305,0,1,304,6350,347,0,1,346,6643,376,0,1,375,6984,398,0,1,397,7288,446,0,1,445,7546,458,0,31,427,7853,493,1,1,491,8181,509,1,1,507,8416,533,1,1,531,8624,542,1,16,525,8900,548,2,16,530,9216,577,2,16,559,9475,589,3,16,570,9727,612,3,16,593,9967,630,3,16,611,10192
Macao,10,0,10,0,29,10,0,10,0,109,10,0,10,0,168,10,0,10,0,219,10,0,10,0,276,10,0,10,0,328,10,0,10,0,372,10,0,10,0,414,10,0,10,0,458,10,0,10,0,515,10,0,10,0,562,10,0,10,0,614,10,0,10,0,660,10,0,10,0,692,10,0,10,0,714,10,0,10,0,745,10,0,10,0,775,10,0,10,0,822,10,0,10,0,854,10,0,10,0,891,10,0,10,0,929,10,0,10,0,963,10,0,10,0,1000,10,0,10,0,1041,10,0,10,0,1070,10,0,10,0,1097,10,0,10,0,1131,10,0,10,0,1178,10,0,10,0,1218,10,0,10,0,1266,10,0,10,0,1305,10,0,10,0,1337,10,0,10,0,1366,10,0,10,0,1402,10,0,10,0,1460
Saint Martin (French part),0,0,0,0,19,0,0,0,0,28,2,0,0,2,38,2,0,0,2,50,2,0,0,2,65,2,0,0,2,84,2,0,0,2,99,2,0,0,2,111,2,0,0,2,120,2,0,0,2,138,2,0,0,2,155,2,0,0,2,180,2,0,0,2,199,2,0,0,2,209,2,0,0,2,221,2,0,0,2,229,2,0,0,2,244,2,0,0,2,253,2,0,0,2,260,2,0,0,2,274,2,0,0,2,301,2,0,0,2,316,2,0,0,2,338,2,0,0,2,357,2,0,0,2,377,2,0,0,2,393,2,0,0,2,408,2,0,0,2,426,2,0,0,2,435,2,0,0,2,450,2,0,0,2,468,2,0,0,2,492,2,0,0,2,503,2,0,0,2,524,2,0,0,2,538
Morocco,2,0,0,2,654,2,0,0,2,1325,3,1,0,2,2131,5,1,0,4,2789,6,1,0,5,3528,7,1,1,5,4265,17,1,1,15,5091,28,1,1,26,6122,29,1,1,27,7162,38,2,1,35,8148,49,2,1,46,9017,63,2,1,60,9938,77,3,1,73,10807,96,3,3,90,11637,115,4,3,108,12376,143,4,5,134,13102,170,5,6,159,13862,225,6,7,212,14549,275,11,8,256,15175,345,23,11,311,15981,402,25,11,366,16711,479,26,13,440,17462,556,33,15,508,18067,617,36,24,557,18827,654,39,29,586,19465,708,44,31,633,20203,791,48,57,686,21020,919,59,66,794,21792,1021,70,76,875,22533,1120,80,81,959,23222,1184,90,93,1001,24003,1275,93,97,1085,24777,1374,97,109,1168,25583,1448,107,122,1219,26335,1545,111,146,1288,26991
